,ewma_window,T_init,imbalance_type,bars_length
276,84,50,volume,23
277,84,50,dollar,23
278,84,60,volume,23
279,84,60,dollar,24
280,85,30,volume,31
281,85,30,dollar,83
282,85,40,volume,24
283,85,40,dollar,27
284,85,50,volume,23
285,85,50,dollar,22
286,85,60,volume,20
287,85,60,dollar,24
288,86,30,volume,32
289,86,30,dollar,54
290,86,40,volume,22
291,86,40,dollar,35
292,86,50,volume,26
293,86,50,dollar,20
294,86,60,volume,24
295,86,60,dollar,27
296,87,30,volume,34
297,87,30,dollar,80
298,87,40,volume,28
299,87,40,dollar,34
300,87,50,volume,27
301,87,50,dollar,23
302,87,60,volume,21
303,87,60,dollar,21
304,88,30,volume,35
305,88,30,dollar,32
306,88,40,volume,20
307,88,40,dollar,30
308,88,50,volume,25
309,88,50,dollar,21
310,88,60,volume,18
311,88,60,dollar,23
312,89,30,volume,35
313,89,30,dollar,33
314,89,40,volume,34
315,89,40,dollar,22
316,89,50,volume,31
317,89,50,dollar,17
318,89,60,volume,20
319,89,60,dollar,21
320,90,30,volume,30
321,90,30,dollar,37
322,90,40,volume,31
323,90,40,dollar,26
324,90,50,volume,31
325,90,50,dollar,22
326,90,60,volume,18
327,90,60,dollar,28
328,91,30,volume,31
329,91,30,dollar,77
330,91,40,volume,34
331,91,40,dollar,28
332,91,50,volume,30
333,91,50,dollar,25
334,91,60,volume,19
335,91,60,dollar,33
336,92,30,volume,43
337,92,30,dollar,83
338,92,40,volume,30
339,92,40,dollar,23
340,92,50,volume,30
341,92,50,dollar,23
342,92,60,volume,27
343,92,60,dollar,27
344,93,30,volume,40
345,93,30,dollar,43
346,93,40,volume,35
347,93,40,dollar,32
348,93,50,volume,24
349,93,50,dollar,23
350,93,60,volume,22
351,93,60,dollar,23
352,94,30,volume,52
353,94,30,dollar,38
354,94,40,volume,32
355,94,40,dollar,31
356,94,50,volume,32
357,94,50,dollar,21
358,94,60,volume,25
359,94,60,dollar,24
360,95,30,volume,38
361,95,30,dollar,33
362,95,40,volume,35
363,95,40,dollar,33
364,95,50,volume,31
365,95,50,dollar,27
366,95,60,volume,28
367,95,60,dollar,28
368,96,30,volume,39
369,96,30,dollar,39
370,96,40,volume,37
371,96,40,dollar,35
372,96,50,volume,25
373,96,50,dollar,28
374,96,60,volume,28
375,96,60,dollar,28
376,97,30,volume,43
377,97,30,dollar,59
378,97,40,volume,41
379,97,40,dollar,32
380,97,50,volume,28
381,97,50,dollar,33
382,97,60,volume,23
383,97,60,dollar,26
384,98,30,volume,63
385,98,30,dollar,50
386,98,40,volume,31
387,98,40,dollar,33
388,98,50,volume,25
389,98,50,dollar,36
390,98,60,volume,25
391,98,60,dollar,26
392,99,30,volume,49
393,99,30,dollar,64
394,99,40,volume,32
395,99,40,dollar,39
396,99,50,volume,26
397,99,50,dollar,35
398,99,60,volume,27
399,99,60,dollar,27
400,100,30,volume,46
401,100,30,dollar,67
402,100,40,volume,36
403,100,40,dollar,32
404,100,50,volume,31
405,100,50,dollar,36
406,100,60,volume,24
407,100,60,dollar,35
