,ewma_window,T_init,imbalance_type,bars_length
276,84,50,volume,43
277,84,50,dollar,45
278,84,60,volume,33
279,84,60,dollar,43
280,85,30,volume,79
281,85,30,dollar,82
282,85,40,volume,45
283,85,40,dollar,45
284,85,50,volume,41
285,85,50,dollar,45
286,85,60,volume,34
287,85,60,dollar,42
288,86,30,volume,647806
289,86,30,dollar,78
290,86,40,volume,44
291,86,40,dollar,54
292,86,50,volume,41
293,86,50,dollar,46
294,86,60,volume,36
295,86,60,dollar,39
296,87,30,volume,649271
297,87,30,dollar,86
298,87,40,volume,57
299,87,40,dollar,59
300,87,50,volume,45
301,87,50,dollar,44
302,87,60,volume,36
303,87,60,dollar,40
304,88,30,volume,649389
305,88,30,dollar,647961
306,88,40,volume,56
307,88,40,dollar,50
308,88,50,volume,43
309,88,50,dollar,52
310,88,60,volume,35
311,88,60,dollar,42
312,89,30,volume,649496
313,89,30,dollar,118
314,89,40,volume,57
315,89,40,dollar,52
316,89,50,volume,44
317,89,50,dollar,39
318,89,60,volume,36
319,89,60,dollar,38
320,90,30,volume,649620
321,90,30,dollar,130
322,90,40,volume,54
323,90,40,dollar,54
324,90,50,volume,46
325,90,50,dollar,47
326,90,60,volume,34
327,90,60,dollar,51
328,91,30,volume,649662
329,91,30,dollar,649533
330,91,40,volume,56
331,91,40,dollar,67
332,91,50,volume,48
333,91,50,dollar,43
334,91,60,volume,35
335,91,60,dollar,48
336,92,30,volume,649706
337,92,30,dollar,649594
338,92,40,volume,66
339,92,40,dollar,71
340,92,50,volume,53
341,92,50,dollar,51
342,92,60,volume,37
343,92,60,dollar,49
344,93,30,volume,649595
345,93,30,dollar,649621
346,93,40,volume,69
347,93,40,dollar,68
348,93,50,volume,52
349,93,50,dollar,58
350,93,60,volume,35
351,93,60,dollar,41
352,94,30,volume,649626
353,94,30,dollar,649660
354,94,40,volume,67
355,94,40,dollar,72
356,94,50,volume,46
357,94,50,dollar,45
358,94,60,volume,42
359,94,60,dollar,44
360,95,30,volume,649939
361,95,30,dollar,649987
362,95,40,volume,66
363,95,40,dollar,64
364,95,50,volume,54
365,95,50,dollar,63
366,95,60,volume,48
367,95,60,dollar,42
368,96,30,volume,649970
369,96,30,dollar,649984
370,96,40,volume,64
371,96,40,dollar,74
372,96,50,volume,58
373,96,50,dollar,61
374,96,60,volume,42
375,96,60,dollar,45
376,97,30,volume,649981
377,97,30,dollar,649861
378,97,40,volume,81
379,97,40,dollar,87
380,97,50,volume,53
381,97,50,dollar,53
382,97,60,volume,38
383,97,60,dollar,55
384,98,30,volume,650022
385,98,30,dollar,649875
386,98,40,volume,97
387,98,40,dollar,98
388,98,50,volume,53
389,98,50,dollar,50
390,98,60,volume,44
391,98,60,dollar,57
392,99,30,volume,650060
393,99,30,dollar,650111
394,99,40,volume,98
395,99,40,dollar,95
396,99,50,volume,53
397,99,50,dollar,55
398,99,60,volume,45
399,99,60,dollar,50
400,100,30,volume,650103
401,100,30,dollar,650103
402,100,40,volume,99
403,100,40,dollar,99
404,100,50,volume,55
405,100,50,dollar,55
406,100,60,volume,44
407,100,60,dollar,52
